13
#n ret_price	total_distrib	tot_distrib_1st_year	reprints	num_reprints	tot_devol	tot_devol_1st_year	distrib_1st_edition	tot_sell_points	tot_sell_points_1st_year	weeks_sale	print-run	total_sales
21.15	753	714	0	0	288	197	446	113	106	108	900	348
17.31	1252	1212	3	23	801	584	1012	297	280	119	2327	347
12.5	945	875	3	24	497	340	673	166	155	117	1384	342
17.31	1033	974	13	73	586	412	739	187	173	145	1569	342
16.3	855	800	9	62	390	259	586	167	152	133	2062	341
17.31	1090	1051	8	53	620	456	843	210	200	132	1513	338
18.27	2357	2323	3	15	1928	1620	1966	322	316	135	3560	337
15.38	964	914	3	27	520	327	680	178	167	119	1392	336
13.41	1085	930	4	57	662	408	790	175	147	138	1907	330
15.38	1807	1803	6	34	1416	1160	1520	240	236	142	2694	329
22.07	1731	1704	0	0	1392	1257	1100	170	164	112	2557	325
6.73	704	617	1	78	300	166	473	136	121	113	942	321
9.62	818	681	4	40	419	182	521	173	158	146	880	310
14.42	1076	952	4	468	718	412	831	232	209	140	1841	307
