10
#n ret_pricer	reprints	num_reprints	gifts	distrib_novelty	tot_points_sale	tot_points_sale_1st_year	weeks_sale	print_run	 total_sales
   33.65	0	0	7	68	36	35	64	120	19
   26.44	0	0	6	116	55	52	179	216	26
   40.38	0	0	7	69	29	28	93	150	18
   42.31	0	0	6	41	33	31	192	52	20
   10.58	0	0	6	153	60	55	186	320	32
   10.58	0	0	6	178	73	70	184	360	66
   10.58	0	0	6	195	83	77	178	360	111
   10.58	0	0	6	269	74	70	164	360	112
   10.58	0	0	6	219	72	64	133	360	125
    9.62	0	0	6	209	65	61	133	360	144
   10.58	0	0	6	277	77	72	160	390	148
   11.54	0	0	6	198	82	71	117	280	153
   11.54	0	0	6	197	93	81	117	272	160
   10.58	0	0	6	206	84	76	184	320	167
   11.54	0	0	7	194	75	75	78	260	191
   10.58	0	0	6	402	95	86	133	599	212
   10.58	0	0	6	326	90	75	163	390	302
   10.58	0	0	6	320	84	78	164	336	307
   11.54	0	0	6	276	105	94	110	468	330
   37.02	0	0	5	77	30	26	198	189	18
   36.54	0	0	6	164	46	43	157	416	33
   25.00	0	0	6	78	40	36	157	120	41
   33.65	0	0	6	87	44	39	184	132	46
   43.27	0	0	6	95	58	56	120	140	80
   39.42	8	150	6	248	106	105	157	470	421
   32.69	12	230	6	449	135	133	120	846	795
   26.92	0	0	6	95	43	40	117	200	31
   14.42	1	13	7	110	53	52	85	113	45
   14.42	1	10	7	104	53	52	87	110	74
   24.04	1	25	7	92	51	50	68	103	51
   24.04	0	0	6	111	57	54	150	156	123
   24.04	0	0	6	114	51	42	131	200	139
   40.38	0	0	6	107	55	51	197	156	53
   36.06	0	0	6	116	53	44	170	210	72
    9.62	0	0	6	196	79	75	135	320	107
   42.31	0	0	6	140	71	65	195	196	110
   29.81	3	45	6	114	53	50	185	145	116
   26.44	6	150	6	152	77	66	194	354	274
   19.23	0	0	6	174	49	47	194	462	32
   21.15	0	0	6	121	47	44	186	240	51
   32.69	0	0	6	302	82	82	140	750	139
   24.04	0	0	6	625	131	131	174	1500	238
   39.42	0	0	6	382	97	97	97	800	472
   33.65	0	0	6	86	45	35	177	155	28
   37.02	1	176	6	112	43	41	182	414	38
   38.46	0	0	6	105	51	45	125	174	100
   26.44	6	75	6	103	66	58	169	167	131
   21.15	15	511	6	227	112	103	177	691	668
   31.73	0	0	6	149	28	19	165	176	42
   32.69	0	0	6	95	47	38	178	150	70
   28.85	0	0	7	121	58	56	55	202	75
   25.00	10	316	7	193	108	98	89	448	420
   12.50	0	0	6	129	39	35	172	300	69
   23.08	8	63	6	82	41	35	158	163	132
   19.23	0	0	7	117	56	53	92	175	28
   21.15	0	0	6	138	58	55	170	200	38
   19.23	0	0	7	137	68	68	66	220	41
   34.62	0	0	6	114	53	49	151	190	46
   34.62	0	0	6	116	52	49	150	168	71
   19.23	1	10	7	163	78	73	77	206	152
   26.44	0	0	6	651	114	108	163	1798	154
   28.85	0	0	6	155	56	46	147	259	165
   26.92	0	0	6	64	32	27	135	100	15
   26.92	1	6	6	87	39	37	132	106	22
   42.31	0	0	6	120	53	46	142	216	47
   37.50	0	0	6	138	67	64	137	182	79
   28.85	0	0	6	47	27	24	141	90	10
   19.23	0	0	7	114	58	56	73	126	57
   26.92	0	0	6	120	56	51	142	150	63
   23.08	1	160	6	183	79	65	132	482	273
   12.40	0	0	7	171	72	72	72	300	44
   12.40	0	0	6	166	45	43	104	420	50
   12.40	0	0	7	158	57	55	78	316	56
   12.40	0	0	7	162	53	51	87	320	64
   12.40	0	0	6	190	57	53	113	450	66
   12.40	0	0	7	172	69	67	64	256	74
   12.40	0	0	7	157	58	55	93	320	81
   12.40	0	0	7	180	71	69	76	280	82
   12.40	0	0	6	153	66	61	117	401	82
   12.40	0	0	6	186	60	58	114	416	91
   12.40	0	0	7	189	72	69	78	300	96
   12.40	0	0	7	211	64	61	99	420	107
   12.40	0	0	6	232	61	58	109	504	113
   12.40	0	0	6	307	81	73	135	800	135
   12.40	4	120	6	283	48	42	103	600	169
   12.40	2	50	7	186	67	64	77	260	179
   12.40	0	0	7	336	80	71	133	840	180
   12.40	0	0	7	185	63	61	100	342	190
   33.65	0	0	6	209	62	55	130	651	42
   33.65	0	0	6	194	52	49	118	598	46
   33.65	0	0	6	171	45	38	97	460	59
   33.65	0	0	6	196	56	53	119	570	64
   33.65	0	0	6	275	74	65	134	676	67
   33.65	0	0	6	262	53	46	117	750	73
   33.65	0	0	6	208	56	50	97	500	82
   26.92	1	10	6	61	36	35	106	90	28
   26.92	0	0	6	80	41	38	125	100	31
   26.92	1	50	7	73	51	51	78	75	33
   26.92	1	30	7	58	41	41	97	65	34
   23.08	0	0	7	128	68	67	58	132	85
